"ID","ip","score","level","data","ts"
1545,"70.20.216.235",0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2022-01-08 07:41:42"
1555,"50.234.227.6",11,"","{""tricks"":{""tricks"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | Mizou | Inspin 180"",""points"":""3""},{""parsed"":""AO Mistrial to 180 out"",""orig"":""Forwards | Inspin 180 | Mistrial | Inspin 180"",""points"":""4""}],""skipped"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | Mizou | Inspin 180"",""points"":""3""},{""parsed"":""AO Mistrial to 180 out"",""orig"":""Forwards | Inspin 180 | Mistrial | Inspin 180"",""points"":""4""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-10 17:58:06"
1565,"186.29.157.184",12,"","{""tricks"":{""tricks"":[{""parsed"":""FS Savannah to Fakie out"",""orig"":""Forwards | FS Savannah | Fakie"",""points"":""2""},{""parsed"":""FS Cab driver"",""orig"":""Forwards | FS Cab driver | Forwards"",""points"":""3""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""Torque Soul to 180 out"",""orig"":""Forwards | Torque Soul | Inspin 180"",""points"":""3""},{""parsed"":""BS Pudslide"",""orig"":""Forwards | BS Pudslide | Forwards"",""points"":""3""}],""skipped"":[{""parsed"":""FS Savannah to Fakie out"",""orig"":""Forwards | FS Savannah | Fakie"",""points"":""2""},{""parsed"":""FS Cab driver"",""orig"":""Forwards | FS Cab driver | Forwards"",""points"":""3""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""Torque Soul to 180 out"",""orig"":""Forwards | Torque Soul | Inspin 180"",""points"":""3""},{""parsed"":""BS Pudslide"",""orig"":""Forwards | BS Pudslide | Forwards"",""points"":""3""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-11 02:43:08"
1575,"186.29.157.184",13,"","{""tricks"":{""tricks"":[{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""},{""parsed"":""AO Makio to 180 rewind out"",""orig"":""Forwards | Inspin 180 | Makio | Outspin 180 "",""points"":""3""},{""parsed"":""FS Unity"",""orig"":""Forwards | FS Unity | Forwards"",""points"":""2""},{""parsed"":""FS Full Torque"",""orig"":""Forwards | FS Full Torque | Forwards"",""points"":""2""},{""parsed"":""AO PStar to 180 rewind out"",""orig"":""Forwards | Inspin 180 | PStar | Outspin 180 "",""points"":""4""}],""skipped"":[{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""},{""parsed"":""AO Makio to 180 rewind out"",""orig"":""Forwards | Inspin 180 | Makio | Outspin 180 "",""points"":""3""},{""parsed"":""FS Unity"",""orig"":""Forwards | FS Unity | Forwards"",""points"":""2""},{""parsed"":""FS Full Torque"",""orig"":""Forwards | FS Full Torque | Forwards"",""points"":""2""},{""parsed"":""AO PStar to 180 rewind out"",""orig"":""Forwards | Inspin 180 | PStar | Outspin 180 "",""points"":""4""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-11 02:44:06"
1585,"50.234.227.6",11,"","{""tricks"":{""tricks"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""Frontside to Fakie out"",""orig"":""Forwards | Frontside | Fakie"",""points"":""1""},{""parsed"":""AO Mizou"",""orig"":""Forwards | Inspin 180 | Mizou"",""points"":""2""},{""parsed"":""AO PStar to 180 out"",""orig"":""Forwards | Inspin 180 | PStar | Inspin 180"",""points"":""4""},{""parsed"":""FS Torque"",""orig"":""Forwards | FS Torque | Forwards"",""points"":""2""}],""skipped"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""Frontside to Fakie out"",""orig"":""Forwards | Frontside | Fakie"",""points"":""1""},{""parsed"":""AO Mizou"",""orig"":""Forwards | Inspin 180 | Mizou"",""points"":""2""},{""parsed"":""AO PStar to 180 out"",""orig"":""Forwards | Inspin 180 | PStar | Inspin 180"",""points"":""4""},{""parsed"":""FS Torque"",""orig"":""Forwards | FS Torque | Forwards"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-14 16:52:44"
1595,"50.234.227.6",0,"","{""config"":{""level"":""2"",""spins"":""5""}}","2022-01-14 16:54:30"
1605,"50.234.227.6",0,"","{""config"":{""level"":""4"",""spins"":""5""}}","2022-01-14 16:57:10"
1615,"174.198.5.98",0,"","{""config"":{""level"":""3"",""spins"":""5""}}","2022-01-14 18:24:07"
1625,"107.77.204.53",0,"","{""config"":{""level"":""4"",""spins"":""5""}}","2022-01-14 18:40:19"
1635,"50.234.227.6",4,"","{""tricks"":{""tricks"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | None BS Royale | Fakie"",""points"":""2""},{""parsed"":""Fakie Backside"",""orig"":""Fakie | None Backside | Forwards"",""points"":""2""}],""skipped"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | None BS Royale | Fakie"",""points"":""2""},{""parsed"":""Fakie Backside"",""orig"":""Fakie | None Backside | Forwards"",""points"":""2""}]},""config"":{""level"":""4"",""spins"":""5""}}","2022-01-14 19:45:03"
1645,"50.234.227.6",0,"","{""config"":{""level"":""4"",""spins"":""5""}}","2022-01-14 21:24:03"
1655,"50.234.227.6",0,"","{""config"":{""level"":""4"",""spins"":""5""}}","2022-01-14 21:26:26"
1665,"50.234.227.6",0,"","{""config"":{""level"":""4"",""spins"":""5""}}","2022-01-14 21:27:35"
1675,"98.225.248.37",0,"","{""config"":{""level"":""3"",""spins"":""5""}}","2022-01-15 00:29:59"
1685,"98.225.248.37",0,"","{""config"":{""level"":""3"",""spins"":""5""}}","2022-01-15 00:36:39"
1695,"98.225.248.37",0,"","{""config"":{""level"":""3"",""spins"":""5""}}","2022-01-15 04:01:54"
1705,"70.20.216.235",0,"","{""config"":{""level"":""4"",""spins"":""5""}}","2022-01-15 14:47:42"
1715,"185.110.90.65",19,"","{""tricks"":{""tricks"":[{""parsed"":""AO Tough X-Grind"",""orig"":""Forwards | Inspin 180 | Tough X-Grind"",""points"":""5""},{""parsed"":""Fakie BS Savannah"",""orig"":""Fakie | None BS Savannah | Forwards"",""points"":""3""},{""parsed"":""270 BS Cab driver"",""orig"":""Forwards | Inspin 270 | None BS Cab driver | Forwards"",""points"":""5""},{""parsed"":""FS Torque to Fakie out"",""orig"":""Forwards | None FS Torque | Fakie"",""points"":""2""},{""parsed"":""Halfcab Sidewalk to 180 out"",""orig"":""Fakie | Inspin 180 | None Sidewalk | Inspin 180"",""points"":""4""}],""skipped"":[{""parsed"":""AO Tough X-Grind"",""orig"":""Forwards | Inspin 180 | Tough X-Grind"",""points"":""5""},{""parsed"":""Fakie BS Savannah"",""orig"":""Fakie | None BS Savannah | Forwards"",""points"":""3""},{""parsed"":""270 BS Cab driver"",""orig"":""Forwards | Inspin 270 | None BS Cab driver | Forwards"",""points"":""5""},{""parsed"":""FS Torque to Fakie out"",""orig"":""Forwards | None FS Torque | Fakie"",""points"":""2""},{""parsed"":""Halfcab Sidewalk to 180 out"",""orig"":""Fakie | Inspin 180 | None Sidewalk | Inspin 180"",""points"":""4""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 09:18:24"
1725,"185.110.90.65",28,"","{""tricks"":{""tricks"":[{""parsed"":""270 BS Royale to Fakie out"",""orig"":""Forwards | Inspin 270 | None BS Royale | Fakie"",""points"":""4""},{""parsed"":""270 Cross-Grab FS Fastslide"",""orig"":""Forwards | Outspin 270 | Cross-Grab FS Fastslide | Forwards"",""points"":""7""},{""parsed"":""AO Rough Top X-Grind to 360 out"",""orig"":""Forwards | Inspin 180 | Rough Topside X-Grind | Inspin 360"",""points"":""7""},{""parsed"":""AO Training Wheel"",""orig"":""Forwards | Inspin 180 | None Training Wheel"",""points"":""3""},{""parsed"":""True Fullcab 540 Soul to 360 out"",""orig"":""Fakie | Outspin 540 | None Soul | Outspin 360"",""points"":""7""}],""skipped"":[{""parsed"":""270 BS Royale to Fakie out"",""orig"":""Forwards | Inspin 270 | None BS Royale | Fakie"",""points"":""4""},{""parsed"":""270 Cross-Grab FS Fastslide"",""orig"":""Forwards | Outspin 270 | Cross-Grab FS Fastslide | Forwards"",""points"":""7""},{""parsed"":""AO Rough Top X-Grind to 360 out"",""orig"":""Forwards | Inspin 180 | Rough Topside X-Grind | Inspin 360"",""points"":""7""},{""parsed"":""AO Training Wheel"",""orig"":""Forwards | Inspin 180 | None Training Wheel"",""points"":""3""},{""parsed"":""True Fullcab 540 Soul to 360 out"",""orig"":""Fakie | Outspin 540 | None Soul | Outspin 360"",""points"":""7""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 09:19:21"
1735,"185.110.90.65",41,"","{""tricks"":{""tricks"":[{""parsed"":""630 BS Backslide"",""orig"":""Forwards | Inspin 630 | None BS Backslide | Forwards"",""points"":""6""},{""parsed"":""Switch 720 FS Byn Soul"",""orig"":""Switch | Inspin 720 | None FS Byn Soul"",""points"":""7""},{""parsed"":""Tough PStar to 720 out"",""orig"":""Forwards | Tough PStar | Outspin 720"",""points"":""8""},{""parsed"":""Switch 540 AO Rough Mistrial to 720 rewind out"",""orig"":""Switch | Inspin 540 | Rough Mistrial | Outspin 720"",""points"":""12""},{""parsed"":""720 Tough Soul to 180 rewind out"",""orig"":""Forwards | Inspin 720 | Tough Soul | Outspin 180 "",""points"":""8""}],""skipped"":[{""parsed"":""630 BS Backslide"",""orig"":""Forwards | Inspin 630 | None BS Backslide | Forwards"",""points"":""6""},{""parsed"":""Switch 720 FS Byn Soul"",""orig"":""Switch | Inspin 720 | None FS Byn Soul"",""points"":""7""},{""parsed"":""Tough PStar to 720 out"",""orig"":""Forwards | Tough PStar | Outspin 720"",""points"":""8""},{""parsed"":""Switch 540 AO Rough Mistrial to 720 rewind out"",""orig"":""Switch | Inspin 540 | Rough Mistrial | Outspin 720"",""points"":""12""},{""parsed"":""720 Tough Soul to 180 rewind out"",""orig"":""Forwards | Inspin 720 | Tough Soul | Outspin 180 "",""points"":""8""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 09:20:05"
1745,"185.110.90.65",29,"","{""tricks"":{""tricks"":[{""parsed"":""Switch Frontside to 270 out"",""orig"":""Switch | None Frontside | 270"",""points"":""4""},{""parsed"":""True Fullcab 720 X-Grind"",""orig"":""Fakie | Outspin 720 | None X-Grind"",""points"":""7""},{""parsed"":""Halfcab Makio to 180 out"",""orig"":""Fakie | Inspin 180 | None Makio | Inspin 180"",""points"":""4""},{""parsed"":""Fakie Switch 720 Acid to 180 out"",""orig"":""Fakie & Switch | Inspin 720 | None Acid | Inspin 180"",""points"":""9""},{""parsed"":""Fakie Switch BS Royale to Fakie out"",""orig"":""Fakie & Switch | None BS Royale | Fakie"",""points"":""5""}],""skipped"":[{""parsed"":""Switch Frontside to 270 out"",""orig"":""Switch | None Frontside | 270"",""points"":""4""},{""parsed"":""True Fullcab 720 X-Grind"",""orig"":""Fakie | Outspin 720 | None X-Grind"",""points"":""7""},{""parsed"":""Halfcab Makio to 180 out"",""orig"":""Fakie | Inspin 180 | None Makio | Inspin 180"",""points"":""4""},{""parsed"":""Fakie Switch 720 Acid to 180 out"",""orig"":""Fakie & Switch | Inspin 720 | None Acid | Inspin 180"",""points"":""9""},{""parsed"":""Fakie Switch BS Royale to Fakie out"",""orig"":""Fakie & Switch | None BS Royale | Fakie"",""points"":""5""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 09:22:56"
1755,"185.110.90.65",37,"","{""tricks"":{""tricks"":[{""parsed"":""Switch 450 Grab BS Torque to Fakie out"",""orig"":""Switch | Outspin 450 | Grab BS Torque | Fakie"",""points"":""7""},{""parsed"":""720 Hurricane Channel BS Byn Soul"",""orig"":""Forwards | Outspin 720 | Channel BS Byn Soul"",""points"":""8""},{""parsed"":""Halfcab Tough Closed Book"",""orig"":""Fakie | Inspin 180 | Tough Closed Book"",""points"":""6""},{""parsed"":""Halfcab Training Wheel to 360 rewind out"",""orig"":""Fakie | Inspin 180 | None Training Wheel | Outspin 360"",""points"":""6""},{""parsed"":""450 Channel BS Savannah to 450 out"",""orig"":""Forwards | Outspin 450 | Channel BS Savannah | 450"",""points"":""10""}],""skipped"":[{""parsed"":""Switch 450 Grab BS Torque to Fakie out"",""orig"":""Switch | Outspin 450 | Grab BS Torque | Fakie"",""points"":""7""},{""parsed"":""720 Hurricane Channel BS Byn Soul"",""orig"":""Forwards | Outspin 720 | Channel BS Byn Soul"",""points"":""8""},{""parsed"":""Halfcab Tough Closed Book"",""orig"":""Fakie | Inspin 180 | Tough Closed Book"",""points"":""6""},{""parsed"":""Halfcab Training Wheel to 360 rewind out"",""orig"":""Fakie | Inspin 180 | None Training Wheel | Outspin 360"",""points"":""6""},{""parsed"":""450 Channel BS Savannah to 450 out"",""orig"":""Forwards | Outspin 450 | Channel BS Savannah | 450"",""points"":""10""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 09:23:20"
1765,"185.110.90.65",37,"","{""tricks"":{""tricks"":[{""parsed"":""Switch AO Acid to 720 rewind out"",""orig"":""Switch | Inspin 180 | None Acid | Outspin 720"",""points"":""7""},{""parsed"":""Fakie 720 Torque Soul to 540 out"",""orig"":""Fakie | Inspin 720 | None Torque Soul | Inspin 540"",""points"":""10""},{""parsed"":""Switch 450 Channel FS Cab driver"",""orig"":""Switch | Inspin 450 | Channel FS Cab driver | Forwards"",""points"":""9""},{""parsed"":""Halfcab FS Tabernacle to 720 out"",""orig"":""Fakie | Inspin 180 | None FS Tabernacle | Inspin 720"",""points"":""8""},{""parsed"":""360 Sidewalk"",""orig"":""Forwards | Inspin 360 | None Sidewalk"",""points"":""3""}],""skipped"":[{""parsed"":""Switch AO Acid to 720 rewind out"",""orig"":""Switch | Inspin 180 | None Acid | Outspin 720"",""points"":""7""},{""parsed"":""Fakie 720 Torque Soul to 540 out"",""orig"":""Fakie | Inspin 720 | None Torque Soul | Inspin 540"",""points"":""10""},{""parsed"":""Switch 450 Channel FS Cab driver"",""orig"":""Switch | Inspin 450 | Channel FS Cab driver | Forwards"",""points"":""9""},{""parsed"":""Halfcab FS Tabernacle to 720 out"",""orig"":""Fakie | Inspin 180 | None FS Tabernacle | Inspin 720"",""points"":""8""},{""parsed"":""360 Sidewalk"",""orig"":""Forwards | Inspin 360 | None Sidewalk"",""points"":""3""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 09:26:04"
1775,"185.110.90.65",20,"","{""tricks"":{""tricks"":[{""parsed"":""360 Mistrial to 540 out"",""orig"":""Forwards | Inspin 360 | None Mistrial | Inspin 540"",""points"":""7""},{""parsed"":""Sunny Day to 540 out"",""orig"":""Forwards | Topside PStar | Outspin 540"",""points"":""6""},{""parsed"":""Backside"",""orig"":""Forwards | None Backside | Forwards"",""points"":""1""},{""parsed"":""BS Cab driver to Fakie out"",""orig"":""Forwards | None BS Cab driver | Fakie"",""points"":""3""},{""parsed"":""Fakie FS Full Torque to Fakie out"",""orig"":""Fakie | None FS Full Torque | Fakie"",""points"":""3""}],""skipped"":[{""parsed"":""360 Mistrial to 540 out"",""orig"":""Forwards | Inspin 360 | None Mistrial | Inspin 540"",""points"":""7""},{""parsed"":""Sunny Day to 540 out"",""orig"":""Forwards | Topside PStar | Outspin 540"",""points"":""6""},{""parsed"":""Backside"",""orig"":""Forwards | None Backside | Forwards"",""points"":""1""},{""parsed"":""BS Cab driver to Fakie out"",""orig"":""Forwards | None BS Cab driver | Fakie"",""points"":""3""},{""parsed"":""Fakie FS Full Torque to Fakie out"",""orig"":""Fakie | None FS Full Torque | Fakie"",""points"":""3""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 11:29:12"
1785,"174.198.31.132",33,"","{""tricks"":{""tricks"":[{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""BS Royale"",""orig"":""Forwards | BS Royale | Forwards"",""points"":""2""},{""parsed"":""Makio to 180 out"",""orig"":""Forwards | Makio | Inspin 180"",""points"":""2""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""Soyale to 180 out"",""orig"":""Forwards | Inspin 180 | Torque Soul | Inspin 180"",""points"":""4""},{""parsed"":""FS Unity to Fakie out"",""orig"":""Forwards | FS Unity | Fakie"",""points"":""2""},{""parsed"":""Acid"",""orig"":""Forwards | Acid"",""points"":""1""},{""parsed"":""FS Backslide"",""orig"":""Forwards | FS Backslide | Forwards"",""points"":""2""},{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""},{""parsed"":""FS Cab driver"",""orig"":""Forwards | FS Cab driver | Forwards"",""points"":""3""},{""parsed"":""BS Full Torque to Fakie out"",""orig"":""Forwards | BS Full Torque | Fakie"",""points"":""2""},{""parsed"":""AO Mistrial"",""orig"":""Forwards | Inspin 180 | Mistrial"",""points"":""3""},{""parsed"":""FS Royale to Fakie out"",""orig"":""Forwards | FS Royale | Fakie"",""points"":""2""},{""parsed"":""BS Backslide"",""orig"":""Forwards | BS Backslide | Forwards"",""points"":""2""},{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | FS Full Torque | Fakie"",""points"":""2""}],""skipped"":[{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""BS Royale"",""orig"":""Forwards | BS Royale | Forwards"",""points"":""2""},{""parsed"":""Makio to 180 out"",""orig"":""Forwards | Makio | Inspin 180"",""points"":""2""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""Soyale to 180 out"",""orig"":""Forwards | Inspin 180 | Torque Soul | Inspin 180"",""points"":""4""},{""parsed"":""FS Unity to Fakie out"",""orig"":""Forwards | FS Unity | Fakie"",""points"":""2""},{""parsed"":""Acid"",""orig"":""Forwards | Acid"",""points"":""1""},{""parsed"":""FS Backslide"",""orig"":""Forwards | FS Backslide | Forwards"",""points"":""2""},{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""},{""parsed"":""FS Cab driver"",""orig"":""Forwards | FS Cab driver | Forwards"",""points"":""3""},{""parsed"":""BS Full Torque to Fakie out"",""orig"":""Forwards | BS Full Torque | Fakie"",""points"":""2""},{""parsed"":""AO Mistrial"",""orig"":""Forwards | Inspin 180 | Mistrial"",""points"":""3""},{""parsed"":""FS Royale to Fakie out"",""orig"":""Forwards | FS Royale | Fakie"",""points"":""2""},{""parsed"":""BS Backslide"",""orig"":""Forwards | BS Backslide | Forwards"",""points"":""2""},{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | FS Full Torque | Fakie"",""points"":""2""}]},""config"":{""level"":""4"",""spins"":""20""}}","2022-01-16 16:32:14"
1795,"174.198.31.132",26,"","{""tricks"":{""tricks"":[{""parsed"":""AO Acid to 360 rewind out"",""orig"":""Forwards | Inspin 180 | None Acid | Outspin 360"",""points"":""4""},{""parsed"":""Switch 450 Rocket BS Backslide to 270 out"",""orig"":""Switch | Outspin 450 | Rocket BS Backslide | 270"",""points"":""10""},{""parsed"":""Halfcab FS Byn Soul"",""orig"":""Fakie | Inspin 180 | None FS Byn Soul"",""points"":""4""},{""parsed"":""Switch FS Torque"",""orig"":""Switch | None FS Torque | Forwards"",""points"":""3""},{""parsed"":""450 BS Unity"",""orig"":""Forwards | Outspin 450 | None BS Unity | Forwards"",""points"":""5""}],""skipped"":[{""parsed"":""AO Acid to 360 rewind out"",""orig"":""Forwards | Inspin 180 | None Acid | Outspin 360"",""points"":""4""},{""parsed"":""Switch 450 Rocket BS Backslide to 270 out"",""orig"":""Switch | Outspin 450 | Rocket BS Backslide | 270"",""points"":""10""},{""parsed"":""Halfcab FS Byn Soul"",""orig"":""Fakie | Inspin 180 | None FS Byn Soul"",""points"":""4""},{""parsed"":""Switch FS Torque"",""orig"":""Switch | None FS Torque | Forwards"",""points"":""3""},{""parsed"":""450 BS Unity"",""orig"":""Forwards | Outspin 450 | None BS Unity | Forwards"",""points"":""5""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 17:10:39"
1805,"174.198.31.132",42,"","{""tricks"":{""tricks"":[{""parsed"":""Switch 540 Hurricane Tough Mizou to 720 rewind out"",""orig"":""Switch | Outspin 540 | Tough Mizou | Inspin 720"",""points"":""11""},{""parsed"":""Fakie Switch 450 BS Full Torque to Fakie out"",""orig"":""Fakie & Switch | Outspin 450 | None BS Full Torque | Fakie"",""points"":""8""},{""parsed"":""Switch AO Tough PStar to 540 rewind out"",""orig"":""Switch | Inspin 180 | Tough PStar | Outspin 540"",""points"":""9""},{""parsed"":""630 FS Unity to 630 out"",""orig"":""Forwards | Outspin 630 | None FS Unity | 630"",""points"":""10""},{""parsed"":""AO Rough Fishbrain"",""orig"":""Forwards | Inspin 180 | Rough Topside Makio"",""points"":""4""}],""skipped"":[{""parsed"":""Switch 540 Hurricane Tough Mizou to 720 rewind out"",""orig"":""Switch | Outspin 540 | Tough Mizou | Inspin 720"",""points"":""11""},{""parsed"":""Fakie Switch 450 BS Full Torque to Fakie out"",""orig"":""Fakie & Switch | Outspin 450 | None BS Full Torque | Fakie"",""points"":""8""},{""parsed"":""Switch AO Tough PStar to 540 rewind out"",""orig"":""Switch | Inspin 180 | Tough PStar | Outspin 540"",""points"":""9""},{""parsed"":""630 FS Unity to 630 out"",""orig"":""Forwards | Outspin 630 | None FS Unity | 630"",""points"":""10""},{""parsed"":""AO Rough Fishbrain"",""orig"":""Forwards | Inspin 180 | Rough Topside Makio"",""points"":""4""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-16 17:14:08"
1815,"82.132.230.48",11,"","{""tricks"":{""tricks"":[{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | Mizou | Inspin 180"",""points"":""3""},{""parsed"":""Torque Soul to 180 out"",""orig"":""Forwards | Torque Soul | Inspin 180"",""points"":""3""},{""parsed"":""Soul to 180 out"",""orig"":""Forwards | Soul | Inspin 180"",""points"":""2""}],""skipped"":[{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | Mizou | Inspin 180"",""points"":""3""},{""parsed"":""Torque Soul to 180 out"",""orig"":""Forwards | Torque Soul | Inspin 180"",""points"":""3""},{""parsed"":""Soul to 180 out"",""orig"":""Forwards | Soul | Inspin 180"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-18 20:22:32"
1825,"82.132.230.48",10,"","{""tricks"":{""tricks"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""Soul"",""orig"":""Forwards | Soul"",""points"":""1""},{""parsed"":""AO X-Grind"",""orig"":""Forwards | Inspin 180 | X-Grind"",""points"":""3""}],""skipped"":[{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""Soul"",""orig"":""Forwards | Soul"",""points"":""1""},{""parsed"":""AO X-Grind"",""orig"":""Forwards | Inspin 180 | X-Grind"",""points"":""3""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-18 20:30:52"
1835,"82.132.230.48",5,"","{""tricks"":{""tricks"":[{""parsed"":""FS Backslide to Fakie out"",""orig"":""Forwards | FS Backslide | Fakie"",""points"":""2""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | Mizou | Inspin 180"",""points"":""3""}],""skipped"":[{""parsed"":""FS Backslide to Fakie out"",""orig"":""Forwards | FS Backslide | Fakie"",""points"":""2""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | Mizou | Inspin 180"",""points"":""3""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-18 20:34:24"
1845,"50.234.227.6",8,"","{""tricks"":{""tricks"":[{""parsed"":""Backside to Fakie out"",""orig"":""Forwards | None Backside | Fakie"",""points"":""1""},{""parsed"":""FS Royale to Fakie out"",""orig"":""Forwards | None FS Royale | Fakie"",""points"":""2""},{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | None FS Full Torque | Fakie"",""points"":""2""},{""parsed"":""FS Cab driver"",""orig"":""Forwards | None FS Cab driver | Forwards"",""points"":""3""}],""skipped"":[{""parsed"":""Backside to Fakie out"",""orig"":""Forwards | None Backside | Fakie"",""points"":""1""},{""parsed"":""FS Royale to Fakie out"",""orig"":""Forwards | None FS Royale | Fakie"",""points"":""2""},{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | None FS Full Torque | Fakie"",""points"":""2""},{""parsed"":""FS Cab driver"",""orig"":""Forwards | None FS Cab driver | Forwards"",""points"":""3""}]},""config"":{""level"":""4"",""spins"":""5""}}","2022-01-19 19:36:43"
1855,"50.234.227.6",0,"","{""config"":{""level"":""4"",""spins"":""5""}}","2022-01-19 21:06:28"
1865,"85.233.26.63",0,"","{""config"":{""level"":""2"",""spins"":""5""}}","2022-01-19 22:09:16"
1875,"172.58.204.232",2,"","{""tricks"":{""tricks"":[{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""}],""skipped"":[{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-20 23:15:27"
1885,"185.12.128.180",18,"","{""tricks"":{""tricks"":[{""parsed"":""Hurricane Overpuss to 180 rewind out"",""orig"":""Forwards | Outspin 360 | Topside Mistrial | Inspin 180"",""points"":""6""},{""parsed"":""FS Tabernacle"",""orig"":""Forwards | None FS Tabernacle"",""points"":""2""},{""parsed"":""True PStar to 180 rewind out"",""orig"":""Forwards | Outspin 180 | None PStar | Inspin 180"",""points"":""4""},{""parsed"":""FS Backslide"",""orig"":""Forwards | None FS Backslide | Forwards"",""points"":""2""},{""parsed"":""270 FS Royale to Fakie out"",""orig"":""Forwards | Outspin 270 | None FS Royale | Fakie"",""points"":""4""}],""skipped"":[{""parsed"":""Hurricane Overpuss to 180 rewind out"",""orig"":""Forwards | Outspin 360 | Topside Mistrial | Inspin 180"",""points"":""6""},{""parsed"":""FS Tabernacle"",""orig"":""Forwards | None FS Tabernacle"",""points"":""2""},{""parsed"":""True PStar to 180 rewind out"",""orig"":""Forwards | Outspin 180 | None PStar | Inspin 180"",""points"":""4""},{""parsed"":""FS Backslide"",""orig"":""Forwards | None FS Backslide | Forwards"",""points"":""2""},{""parsed"":""270 FS Royale to Fakie out"",""orig"":""Forwards | Outspin 270 | None FS Royale | Fakie"",""points"":""4""}]},""config"":{""level"":""2"",""spins"":""5""}}","2022-01-21 15:18:04"
